Date,Close Price,Percentage Change
2023-11-20,10950.0,0.00%
2023-11-06,10600.0,0.47%
2023-10-23,11050.0,-4.74%
2023-10-09,11800.0,-0.42%
2023-09-25,12100.0,-5.10%
2023-09-11,13350.0,2.69%
2023-08-24,12650.0,-4.17%
2023-08-10,13550.0,5.45%
2023-07-27,12950.0,0.39%
2023-07-13,12550.0,-5.64%
2023-06-29,14150.0,1.80%
2023-06-15,13200.0,-3.30%
2023-06-01,13150.0,5.20%
2023-05-18,12500.0,0.81%
2023-05-04,12900.0,7.05%
2023-04-17,12350.0,-5.73%
2023-04-03,12850.0,-2.65%
2023-03-20,12700.0,-2.31%
2023-03-06,12500.0,-0.40%
2023-02-20,12700.0,9.01%
2023-02-06,12150.0,-12.27%
2023-01-16,14250.0,-4.36%
2022-12-30,13900.0,2.58%
2022-12-16,15100.0,28.51%
2022-12-02,10650.0,13.30%
2022-11-18,9300.0,-6.06%
2022-11-04,10700.0,-0.47%
2022-10-21,11150.0,-4.29%
2022-10-07,11350.0,-14.98%
2022-09-23,14600.0,-1.68%
2022-09-09,14850.0,-13.91%
2022-08-24,17900.0,3.17%
2022-08-10,18100.0,6.16%
2022-07-27,15950.0,-3.92%
2022-07-13,16450.0,5.45%
2022-06-29,16050.0,4.56%
2022-06-15,16150.0,-10.53%
2022-06-01,18600.0,4.49%
2022-05-18,18800.0,-7.39%
2022-05-04,22300.0,7.73%
2022-04-18,22550.0,-6.43%
2022-04-01,25050.0,-1.18%
2022-03-18,25350.0,-1.74%
2022-03-04,25400.0,-1.93%
2022-02-18,27300.0,4.20%
2022-01-28,24300.0,7.05%
2022-01-14,22700.0,0.22%
2021-12-30,23200.0,0.43%
2021-12-16,23350.0,1.97%
2021-12-02,22900.0,-3.78%
2021-11-18,25200.0,1.20%
2021-11-04,24150.0,-3.40%
2021-10-21,25950.0,-1.33%
2021-10-07,25950.0,3.80%
2021-09-23,25600.0,0.39%
2021-09-09,23950.0,13.51%
2021-08-24,20400.0,-4.67%
2021-08-10,21500.0,-3.37%
2021-07-27,19100.0,-1.42%
2021-07-13,20207.0,-3.58%
2021-06-29,21868.0,0.36%
2021-06-15,22184.0,3.50%
2021-06-01,20286.0,-3.93%
2021-05-18,21433.0,-1.81%
2021-05-04,21591.0,-9.60%
2021-04-15,24992.0,-5.10%
2021-04-01,26732.0,4.48%
2021-03-18,25624.0,5.54%
2021-03-04,23647.0,3.10%
2021-02-18,21551.0,4.40%
2021-01-28,20049.0,-13.92%
2021-01-14,24359.0,7.69%
2020-12-30,22421.0,2.16%
2020-12-16,22540.0,6.15%
2020-12-02,20721.0,-2.42%
2020-11-18,21591.0,1.11%
2020-11-04,19969.0,2.23%
2020-10-21,20009.0,-3.62%
2020-10-07,21077.0,-0.37%
2020-09-17,21195.0,2.29%
2020-09-03,20879.0,9.54%
2020-08-13,19772.0,5.27%
2020-07-30,17399.0,-14.73%
2020-07-16,20839.0,-0.94%
2020-07-02,20246.0,-4.12%
2020-06-18,21789.0,-1.60%
2020-06-04,22026.0,0.18%
2020-05-21,21591.0,-1.44%
2020-05-07,21116.0,2.30%
2020-04-21,21512.0,15.99%
2020-04-07,16055.0,12.16%
2020-03-23,14671.0,-9.95%
2020-03-09,18388.0,4.73%
2020-02-18,21274.0,-1.11%
2020-02-04,21116.0,-18.47%
2020-01-14,25466.0,-3.74%
2019-12-30,26811.0,-1.31%
2019-12-16,27048.0,-1.30%
2019-12-02,27760.0,0.86%
